welcome.started,welcome.stopped,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,OS,frameRate,participant,load_guess_conditions.started,load_guess_conditions.stopped,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,guess_conditions.ran,guess_trial,randomizer,instructions1.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration,instructions5.started,instructions5.stopped,instruction5_key.keys,instruction5_key.rt,instruction5_key.duration,iti_learning_practice.started,iti_learning_practice.stopped,guess.started,guess.stopped,end_guess.keys,guess_response.started,guess_response.stopped,guess_reached.keys,feedback_guess.started,feedback_guess.stopped,trial_type,encode.started,encode.stopped,end_encoding.keys,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,cue,target,guess_reached.rt,guess_reached.duration,start_task.started,start_task.stopped,start_key.keys,start_key.rt,start_key.duration,iti_learning.started,iti_learning.stopped,task_break.started,task_break.stopped,task_break_resp.keys,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,learning_trials.ran,task_break_resp.rt,task_break_resp.duration,end_part1.started,end_part1.stopped,end_part1_key.keys,end_part1_key.rt,end_part1_key.duration,instructions_recall1.started,instructions_recall1.stopped,recall_instructions1_key.keys,recall_instructions1_key.rt,recall_instructions1_key.duration,instructions_recall2.started,instructions_recall2.stopped,recall_instructions1_key_2.keys,recall_instructions1_key_2.rt,recall_instructions1_key_2.duration,iti.started,iti.stopped,cued_recall.started,cued_recall.stopped,end_cued_recall.keys,recall_response.started,recall_response.stopped,recall_reached.keys,recall_reached.rt,recall_reached.duration,letter_options,recall_select.started,recall_select.stopped,recall_selection.keys,recall_feedback.started,recall_feedback.stopped,end_feedback.keys,test_practice_trials.thisRepN,test_practice_trials.thisTrialN,test_practice_trials.thisN,test_practice_trials.thisIndex,test_practice_trials.ran,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,recall_selection.rt,recall_selection.duration,end_part2.started,end_part2.stopped,end_part2_key.keys,end_part2_key.rt,end_part2_key.duration,instructions_semantic_mapping1.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,sm_trial_type,item.started,item.stopped,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,mapping_break.started,mapping_break.stopped,break_resp.keys,semantic_mapping.thisRepN,semantic_mapping.thisTrialN,semantic_mapping.thisN,semantic_mapping.thisIndex,semantic_mapping.ran,list_item,kind,break_resp.rt,break_resp.duration,thanks.started,thanks.stopped
,,695429,22,männlich,2025-01-02_22h00.52.670,guess,2024.2.4,Win32,59.88023952,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guess,,,,,,,,,Wein,Abendessen,,,,,,,,,,1759.8056,1759.8057,,,,,,,,,,,,,,,,,,,,,,,,1747.8077,1751.8057,1751.806,1754.8057,,1754.806,1756.8055,g,0.6069,,"[""v"",""n"",""r"",""g""]",1756.8061,1759.8056,2,,,,,,,,,0,52,52,74,1,1.9301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,695429,22,männlich,2025-01-02_22h00.52.670,guess,2024.2.4,Win32,59.88023952,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guess,,,,,,,,,Golf,Loch,,,,,,,,,,1771.8055,1771.8055,,,,,,,,,,,,,,,,,,,,,,,,1759.8059,1763.8055,1763.806,1766.8057,,1766.8062,1768.8057,g,0.661,,"[""k"",""g"",""c"",""h""]",1768.8064,1771.8055,3,,,,,,,,,0,53,53,17,1,1.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,695429,22,männlich,2025-01-02_22h00.52.670,guess,2024.2.4,Win32,59.88023952,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Read,,,,,,,,,Schnorchel,Flossen,,,,,,,,,,1780.8074,1780.8074,,,,,,,,,,,,,,,,,,,,,,,,1771.8057,1775.8058,1775.8061,1778.8057,,1778.8061,1780.8059,f,0.5628,,"[""k"",""u"",""n"",""d""]",1780.8066,1780.8072,,,,,,,,,,0,54,54,67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,695429,22,männlich,2025-01-02_22h00.52.670,guess,2024.2.4,Win32,59.88023952,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Read,,,,,,,,,Beutel,Sack,,,,,,,,,,1789.8069,1789.8069,,,,,,,,,,,,,,,,,,,,,,,,1780.8083,1784.8055,1784.8059,1787.8057,,1787.8061,1789.8057,f,0.5325,,"[""k"",""o"",""c"",""j""]",1789.8062,1789.8068,,,,,,,,,,0,55,55,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,695429,22,männlich,2025-01-02_22h00.52.670,guess,2024.2.4,Win32,59.88023952,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guess,,,,,,,,,Publikum,Applaus,,,,,,,,,,1798.8083,1798.8084,,,,,,,,,,,,,,,,,,,,,,,,1789.8078,1793.8057,1793.806,1796.8058,,1796.8061,1798.8057,f,1.1209,,"[""s"",""n"",""c"",""e""]",1798.8066,1798.8082,,,,,,,,,,0,56,56,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,695429,22,männlich,2025-01-02_22h00.52.670,guess,2024.2.4,Win32,59.88023952,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guess,,,,,,,,,Klebstoff,Papier,,,,,,,,,,1807.8077,1807.8077,,,,,,,,,,,,,,,,,,,,,,,,1798.809,1802.8058,1802.8062,1805.8059,,1805.8062,1807.8057,,,,"[""l"",""r"",""d"",""m""]",1807.8065,1807.8076,,,,,,,,,,0,57,57,62,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,695429,22,männlich,2025-01-02_22h00.52.670,guess,2024.2.4,Win32,59.88023952,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Read,,,,,,,,,Tradition,Weihnachten,,,,,,,,,,1816.808,1816.808,,,,,,,,,,,,,,,,,,,,,,,,1807.8086,1811.8059,1811.8063,1814.8059,,1814.8063,1816.8058,f,0.6709,,"[""k"",""b"",""d"",""n""]",1816.8066,1816.8078,,,,,,,,,,0,58,58,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,695429,22,männlich,2025-01-02_22h00.52.670,guess,2024.2.4,Win32,59.88023952,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guess,,,,,,,,,Experiment,Versuch,,,,,,,,,,1828.8059,1828.8059,,,,,,,,,,,,,,,,,,,,,,,,1816.8089,1820.8058,1820.8062,1823.8058,,1823.8062,1825.8057,g,0.9656,,"[""h"",""u"",""t"",""s""]",1825.8065,1828.8058,3,,,,,,,,,0,59,59,3,1,2.1672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,695429,22,männlich,2025-01-02_22h00.52.670,guess,2024.2.4,Win32,59.88023952,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guess,,,,,,,,,Kino,Theater,,,,,,,,,,1837.8078,1837.8078,,,,,,,,,,,,,,,,,,,,,,,,1828.8061,1832.8059,1832.8065,1835.8059,,1835.8063,1837.806,f,0.4715,,"[""l"",""r"",""k"",""n""]",1837.8067,1837.8077,,,,,,,,,,0,60,60,61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,695429,22,männlich,2025-01-02_22h00.52.670,guess,2024.2.4,Win32,59.88023952,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guess,,,,,,,,,Streifen,Shirt,,,,,,,,,,1849.8061,1849.8061,,,,,,,,,,,,,,,,,,,,,,,,1837.8087,1841.806,1841.8064,1844.8059,,1844.8064,1846.8058,g,1.2009,,"[""e"",""s"",""p"",""t""]",1846.8064,1849.8061,4,,,,,,,,,0,61,61,70,1,1.6985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
