welcome.started,welcome.stopped,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,OS,frameRate,load_guess_conditions.started,load_guess_conditions.stopped,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,guess_conditions.ran,guess_trial,randomizer,instructions1.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration,instructions5.started,instructions5.stopped,instruction5_key.keys,instruction5_key.rt,instruction5_key.duration,iti_learning_practice.started,iti_learning_practice.stopped,guess.started,guess.stopped,end_guess.keys,guess_response.started,guess_response.stopped,guess_reached.keys,feedback_guess.started,feedback_guess.stopped,trial_type,encode.started,encode.stopped,end_encoding.keys,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,cue,target,practice_trials.order
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0582,3.0582,0,38,38,30,1,Read,0.691306502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0583,3.0583,0,39,39,49,1,Guess,0.724637629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0584,3.0584,0,40,40,29,1,Guess,0.514115051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0585,3.0585,0,41,41,9,1,Guess,0.718593933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0585,3.0585,0,42,42,22,1,Read,0.915883717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.059,3.059,0,43,43,15,1,Guess,0.384886084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0591,3.0592,0,44,44,45,1,Guess,0.864516127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0592,3.0592,0,45,45,38,1,Read,0.734814934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0592,3.0592,0,46,46,59,1,Guess,0.010896867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0593,3.0593,0,47,47,74,1,Read,0.041983302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
