welcome.started,welcome.stopped,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,OS,frameRate,participant,load_guess_conditions.started,load_guess_conditions.stopped,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,guess_conditions.ran,guess_trial,randomizer,instructions1.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration,instructions5.started,instructions5.stopped,instruction5_key.keys,instruction5_key.rt,instruction5_key.duration,iti_learning_practice.started,iti_learning_practice.stopped,guess.started,guess.stopped,end_guess.keys,guess_response.started,guess_response.stopped,guess_reached.keys,feedback_guess.started,feedback_guess.stopped,trial_type,encode.started,encode.stopped,end_encoding.keys,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,cue,target,guess_reached.rt,guess_reached.duration,start_task.started,start_task.stopped,start_key.keys,start_key.rt,start_key.duration,iti_learning.started,iti_learning.stopped,task_break.started,task_break.stopped,task_break_resp.keys,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,learning_trials.ran,task_break_resp.rt,task_break_resp.duration,end_part1.started,end_part1.stopped,end_part1_key.keys,end_part1_key.rt,end_part1_key.duration,instructions_recall1.started,instructions_recall1.stopped,recall_instructions1_key.keys,recall_instructions1_key.rt,recall_instructions1_key.duration,instructions_recall2.started,instructions_recall2.stopped,recall_instructions1_key_2.keys,recall_instructions1_key_2.rt,recall_instructions1_key_2.duration,iti.started,iti.stopped,cued_recall.started,cued_recall.stopped,end_cued_recall.keys,recall_response.started,recall_response.stopped,recall_reached.keys,letter_options,recall_select.started,recall_select.stopped,recall_selection.keys,recall_feedback.started,recall_feedback.stopped,end_feedback.keys,test_practice_trials.thisRepN,test_practice_trials.thisTrialN,test_practice_trials.thisN,test_practice_trials.thisIndex,test_practice_trials.ran,recall_reached.rt,recall_reached.duration,recall_selection.rt,recall_selection.duration,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,end_part2.started,end_part2.stopped,end_part2_key.keys,end_part2_key.rt,end_part2_key.duration,instructions_semantic_mapping1.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,sm_trial_type,item.started,item.stopped,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,mapping_break.started,mapping_break.stopped,break_resp.keys,semantic_mapping.thisRepN,semantic_mapping.thisTrialN,semantic_mapping.thisN,semantic_mapping.thisIndex,semantic_mapping.ran,list_item,kind,break_resp.rt,break_resp.duration,thanks.started,thanks.stopped
,,102019,20,weiblich,2025-01-13_21h51.02.956,guess,2024.2.4,Win32,60.24096386,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.5572,459.5598,,459.5617,459.5626,,,,Read,459.5633,462.5583,,,,,,,Juwel,Gold,,,,,,,,455.5535,459.5559,462.5583,462.5584,,0,42,42,57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102019,20,weiblich,2025-01-13_21h51.02.956,guess,2024.2.4,Win32,60.24096386,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.5631,466.5651,,466.5655,466.566,,,,Read,466.5666,469.5643,,,,,,,Beweis,Gericht,,,,,,,,462.5588,466.5622,469.5643,469.5645,,0,43,43,52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102019,20,weiblich,2025-01-13_21h51.02.956,guess,2024.2.4,Win32,60.24096386,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.5684,473.5699,,473.5714,473.5722,,,,Read,473.5727,476.57,,,,,,,Wein,Abendessen,,,,,,,,469.5652,473.5677,476.5701,476.5702,,0,44,44,74,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102019,20,weiblich,2025-01-13_21h51.02.956,guess,2024.2.4,Win32,60.24096386,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.5743,480.5755,,480.5767,480.5778,,,,Read,480.5798,483.5762,,,,,,,Mauer,Straße,,,,,,,,476.5708,480.5734,483.5763,483.5764,,0,45,45,64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102019,20,weiblich,2025-01-13_21h51.02.956,guess,2024.2.4,Win32,60.24096386,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.5809,487.5829,,487.5835,487.5843,,,,Read,487.5852,490.5817,,,,,,,Vers,Poesie,,,,,,,,483.577,487.5791,490.5818,490.5818,,0,46,46,46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102019,20,weiblich,2025-01-13_21h51.02.956,guess,2024.2.4,Win32,60.24096386,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.5865,497.5876,,497.5885,499.5899,g,,,Guess,499.5912,502.5915,,,,,,,Scheidung,Anwalt,0.6762,,,,,,,490.5823,494.5852,502.5916,502.5916,,0,47,47,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102019,20,weiblich,2025-01-13_21h51.02.956,guess,2024.2.4,Win32,60.24096386,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.5953,509.5977,,509.5988,511.5992,h,,,Guess,511.6007,514.6016,,,,,,,Häftling,Verurteilter,0.5809,,,,,,,502.5919,506.5948,514.6016,514.6017,,0,48,48,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102019,20,weiblich,2025-01-13_21h51.02.956,guess,2024.2.4,Win32,60.24096386,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.605,521.6076,,521.6082,523.6088,g,,,Guess,523.61,526.6116,,,,,,,Schlüssel,Ring,0.6325,,,,,,,514.6022,518.6045,526.6117,526.6118,,0,49,49,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102019,20,weiblich,2025-01-13_21h51.02.956,guess,2024.2.4,Win32,60.24096386,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.6156,530.6162,,530.6167,530.6177,,,,Read,530.6188,533.6174,,,,,,,Küche,Tisch,,,,,,,,526.6123,530.6151,533.6175,533.6176,,0,50,50,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102019,20,weiblich,2025-01-13_21h51.02.956,guess,2024.2.4,Win32,60.24096386,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.6215,537.6227,,537.6242,537.6248,,,,Read,537.6252,540.6231,,,,,,,Gegenstand,Artikel,,,,,,,,533.6184,537.6207,540.6231,540.6231,,0,51,51,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
