welcome.started,welcome.stopped,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,OS,frameRate,load_guess_conditions.started,load_guess_conditions.stopped,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,guess_conditions.ran,guess_trial,randomizer,instructions1.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration,instructions5.started,instructions5.stopped,instruction5_key.keys,instruction5_key.rt,instruction5_key.duration,iti_learning_practice.started,iti_learning_practice.stopped,guess.started,guess.stopped,end_guess.keys,guess_response.started,guess_response.stopped,guess_reached.keys,feedback_guess.started,feedback_guess.stopped,trial_type,encode.started,encode.stopped,end_encoding.keys,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,cue,target
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,3.021,3.021,0,31,31,21,1,Guess,0.38751911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,3.021,3.022,0,32,32,14,1,Read,0.118489356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,3.022,3.022,0,33,33,2,1,Read,0.02347598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,3.022,3.022,0,34,34,1,1,Guess,0.952162206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,3.022,3.022,0,35,35,38,1,Read,0.815852513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,3.022,3.022,0,36,36,16,1,Read,0.812207018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,3.022,3.022,0,37,37,33,1,Guess,0.893806662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,3.022,3.022,0,38,38,13,1,Guess,0.54823733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,,,,,,,,,,3.022,6.912,space,3.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,,,,,,,,,,,,,,,6.912,8.123,space,1.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,,,,,,,,,,,,,,,,,,,,8.123,9.245,space,1.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,,,,,,,,,,,,,,,,,,,,,,,,,9.245,14.712,space,5.407,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.712,15.145,space,0.359,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.153,17.146,17.146,17.148,,17.148,17.15,,17.15,17.15,Read,17.15,20.145,,0,0,0,1,1,Frühstück,Brot
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.146,22.145,22.146,25.146,,25.146,27.294,,27.294,29.303,Guess,29.304,31.1,,0,1,1,0,1,Wand,Fenster
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1,34.301,34.302,37.301,,37.301,40.062,,40.062,42.071,Guess,42.072,44.701,,0,2,2,3,1,Park,Baum
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.703,47.222,47.226,47.228,,47.229,47.229,,47.229,47.229,Read,47.23,49.542,,0,3,3,2,1,Hund,Pfote
