welcome.started,welcome.stopped,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,OS,frameRate,participant,load_guess_conditions.started,load_guess_conditions.stopped,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,guess_conditions.ran,guess_trial,randomizer,instructions1.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration,instructions5.started,instructions5.stopped,instruction5_key.keys,instruction5_key.rt,instruction5_key.duration,iti_learning_practice.started,iti_learning_practice.stopped,guess.started,guess.stopped,end_guess.keys,guess_response.started,guess_response.stopped,guess_reached.keys,feedback_guess.started,feedback_guess.stopped,trial_type,encode.started,encode.stopped,end_encoding.keys,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,cue,target,guess_reached.rt,guess_reached.duration,start_task.started,start_task.stopped,start_key.keys,start_key.rt,start_key.duration,iti_learning.started,iti_learning.stopped,task_break.started,task_break.stopped,task_break_resp.keys,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,learning_trials.ran,task_break_resp.rt,task_break_resp.duration
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.165,319.168,,319.169,319.17,,,,Read,319.17,322.172,,,,,,,Mappe,Buch,,,,,,,,315.178,319.163,322.172,322.172,,0,27,27,36,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.162,326.165,,326.166,326.166,,,,Read,326.168,329.169,,,,,,,Häftling,Verurteilter,,,,,,,,322.172,326.161,329.169,329.17,,0,28,28,55,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.159,333.162,,333.162,333.163,,,,Read,333.164,336.167,,,,,,,Schuh,Stiefel,,,,,,,,329.171,333.158,336.167,336.167,,0,29,29,68,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.161,343.148,,343.149,345.143,h,,,Guess,345.144,348.134,,,,,,,Insel,Meer,1.359,,,,,,,336.168,340.157,348.134,348.134,,0,30,30,34,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.125,352.127,,352.128,352.129,,,,Read,352.13,355.132,,,,,,,Rauch,Nebel,,,,,,,,348.138,352.123,355.132,355.132,,0,31,31,6,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.122,359.124,,359.125,359.127,,,,Read,359.127,362.129,,,,,,,Geburtstag,Kerze,,,,,,,,355.132,359.121,362.129,362.129,,0,32,32,15,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.12,366.122,,366.122,366.124,,,,Read,366.125,369.127,,,,,,,Tee,Blätter,,,,,,,,362.131,366.118,369.127,369.127,,0,33,33,71,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.134,373.135,,373.136,373.138,,,,Read,373.139,376.142,,,,,,,Rasen,Pflege,,,,,,,,369.128,373.132,376.142,376.143,,0,34,34,19,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.152,383.138,,383.14,385.133,h,,,Guess,385.135,388.125,,,,,,,Bar,Alkohol,1.69,,,,,,,376.146,380.146,388.125,388.125,,0,35,35,51,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.115,392.118,,392.119,392.121,,,,Read,392.121,395.122,,,,,,,Tradition,Weihnachten,,,,,,,,388.126,392.114,395.122,395.123,,0,36,36,45,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.112,399.115,,399.116,399.117,,,,Read,399.118,402.12,,,,,,,Kamin,Ziegel,,,,,,,,395.123,399.111,402.12,402.12,,0,37,37,58,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.127,409.118,,409.123,411.112,,,,Guess,411.114,414.104,,,,,,,Soldat,Kämpfer,,,,,,,,402.122,406.126,414.104,414.104,,0,38,38,10,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.111,421.102,,421.103,423.096,h,,,,423.098,426.088,,,,,,,Zunge,Backe,1.336,,,,,,,414.109,418.109,426.088,431.573,space,0,39,39,49,1,5.454,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.563,438.554,,438.555,440.55,,,,,440.556,444.857,,,,,,,Beweis,Gericht,,,,,,,,431.574,435.562,444.857,444.858,,0,40,40,52,1,,
